Name,City,State
Hair Academy Inc-New Carrollton,New Carrollton,MD
Cox College,Springfield,MO
Central Bible College,Springfield,MO
Cleveland University-Kansas City,Overland Park,KS
Columbia Area Career Center,Columbia,MO
House of Heavilin Beauty College-Kansas City,Kansas City,MO
Lex La-Ray Technical Center,Lexington,MO
Elmira Business Institute,Elmira,NY
Finger Lakes Community College,Canandaigua,NY
Hunter Business School,Levittown,NY
The Juilliard School,New York,NY
LIM College,New York,NY
LIU Brooklyn,Brooklyn,NY
James A Rhodes State College,Lima,OH
Mercy College of Ohio,Toledo,OH
Miami-Jacobs Career College-Dayton,Dayton,OH
Moler Hollywood Beauty Academy,Cincinnati,OH
University of Mount Union,Alliance,OH
Ohio State University-Lima Campus,Lima,OH
Ohio State Beauty Academy,Lima,OH
Ohio State School of Cosmetology-Canal Winchester,CANAL WINCHESTER,OH
Ohio State University-Main Campus,Columbus,OH
Ohio University-Southern Campus,Ironton,OH
Ohio University-Main Campus,Athens,OH
Susquehanna University,Selinsgrove,PA
Thaddeus Stevens College of Technology,Lancaster,PA
Welder Training and Testing Institute,Allentown,PA
West Chester University of Pennsylvania,West Chester,PA
Community College of Rhode Island,Warwick,RI
American National University,Salem,VA
Randolph College,Lynchburg,VA
Riverside School of Health Careers,Newport News,VA
Roanoke College,Salem,VA
University of Virginia-Main Campus,Charlottesville,VA
Virginia School of Hair Design,Hampton,VA
Virginia University of Lynchburg,Lynchburg,VA
Beauty Academy,Wenatchee,WA
Bellevue College,Bellevue,WA
Pima Medical Institute-Mesa,Mesa,AZ
Tulsa Technology Center-Riverside Campus,Tulsa,OK
Cheeks International Academy of Beauty Culture-Greeley,Greeley,CO
Remington College-Colorado Springs Campus,Colorado Springs,CO
Healing Arts Institute,Fort Collins,CO
ITT Technical Institute-San Bernardino,San Bernardino,CA
Greater Lowell Technical School,Tyngsboro,MA
Star College of Cosmetology 2,Tyler,TX
Midwest College of Oriental Medicine-Racine,Racine,WI
Hacienda La Puente Adult Education,La Puente,CA
Star Truck Driving School-Hickory Hills,Hickory Hills,IL
Professional Beauty School,Yakima,WA
Cairn University-Wisconsin Wilderness,Cable,WI
AOMA Graduate School of Integrative Medicine,Austin,TX
Colorado Technical University-Greenwood Village,Aurora,CO
Heald College-Portland,Portland,OR
Golf Academy of America-Phoenix,Chandler,AZ
American College of Traditional Chinese Medicine,San Francisco,CA
National American University-Albuquerque West,Albuquerque,NM
Interactive Learning Systems-Pasadena,Pasadena,TX
Pillar College,Newark,NJ
Miami Ad School-San Francisco,San Francisco,CA
Miami-Jacobs Career College-Sharonville,Sharonville,OH
Georgia Gwinnett College,Lawrenceville,GA
SUM Bible College and Theological Seminary,Oakland,CA
Hair Expressions Academy,Rockville,MD
Elite Academy of Beauty Arts,Brooklyn,NY
Aveda Institute-New York,New York,NY
National Massage Therapy Institute,Philadelphia,PA
Texas Health School,Houston,TX
Careers Unlimited,Orem,UT
Avi Career Training,Great Falls,VA
Aveda Institute-Chicago,Chicago,IL
Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL
Le Cordon Bleu College of Culinary Arts-St Louis,St Peters,MO
Heritage College-Wichita,Wichita,KS
ITT Technical Institute-Concord,Concord,CA
ITT Technical Institute-Charlotte North,Charlotte,NC
Salon Success Academy-Fontana,Fontana,CA
San Joaquin Valley College-Hesperia,Hesperia,CA
Regency Beauty Institute-Merrillville,Merrillville,IN
Everest College-Atlanta West,Atlanta,GA
Advanced Institute of Hair Design-Madison,Madison,WI
New England Tractor Trailer Training School of Massachusetts,North Andover,MA
Sanford-Brown College-Portland,Portland,OR
Midwest Technical Institute-Moline,Moline,IL
The Art Institute of Wisconsin,Milwaukee,WI
Five Branches University,Santa Cruz,CA
Fresno City College,Fresno,CA
Salon Success Academy-San Bernardino,San Bernardino,CA
Heald College-Rancho Cordova,Rancho Cordova,CA
Heald College-Fresno,Fresno,CA
Heald College-San Jose,Milpitas,CA
Hilltop Beauty School,Daly City,CA
LA College International,Los Angeles,CA
Interior Designers Institute,Newport Beach,CA
ITT Technical Institute-San Dimas,San Dimas,CA
Lorenzo Walker Institute of Technology,Naples,FL
Florida Institute of Ultrasound Inc,Pensacola,FL
Florida School of Massage,Gainesville,FL
George Stone Technical Center,Pensacola,FL
Hobe Sound Bible College,Hobe Sound,FL
Cortiva Institute-Florida,Pinellas Park,FL
ITT Technical Institute-Tampa,Tampa,FL
La Belle Beauty School,Hialeah,FL
Florida Gateway College,Lake City,FL
DePauw University,Greencastle,IN
Franklin College,Franklin,IN
Goshen College,Goshen,IN
PJ's College of Cosmetology-Clarksville,Clarksville,IN
Lafayette Beauty Academy,Lafayette,IN
Sojourner-Douglass College,Baltimore,MD
Washington Bible College-Capital Bible Seminary,Lanham,MD
Bentley University,Waltham,MA
Berkshire Community College,Pittsfield,MA
Cape Cod Community College,West Barnstable,MA
Eastern Nazarene College,Quincy,MA
Emerson College,Boston,MA
Metropolitan Community College-Kansas City,Kansas City,MO
Westwood College-O'Hare Airport,Chicago,IL
Missouri Baptist University,Saint Louis,MO
National Academy of Beauty Arts-Farmington,Farmington,MO
Missouri University of Science and Technology,Rolla,MO
Ozark Christian College,Joplin,MO
College of the Ozarks,Point Lookout,MO
American College of Hair Design Inc,Sedalia,MO
St Louis College of Pharmacy,Saint Louis,MO
Stephens College,Columbia,MO
Missouri State University-Springfield,Springfield,MO
Long Island Beauty School-Hempstead,Hempstead,NY
Marist College,Poughkeepsie,NY
Memorial Hospital School of Radiation Therapy Technology,New York,NY
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY
Mesivtha Tifereth Jerusalem of America,New York,NY
Mildred Elley School-Albany Campus,Albany,NY
Icahn School of Medicine at Mount Sinai,New York,NY
New York Institute of English and Business,New York,NY
Niagara University,Niagara University,NY
New York College of Podiatric Medicine,New York,NY
Sinclair Community College,Dayton,OH
Stautzenberger College-Maumee,Maumee,OH
United Theological Seminary,Dayton,OH
Walsh University,North Canton,OH
Charleston Southern University,Charleston,SC
College of Charleston,Charleston,SC
Northeastern Technical College,Cheraw,SC
Furman University,Greenville,SC
Limestone College,Gaffney,SC
Orangeburg Calhoun Technical College,Orangeburg,SC
Piedmont Technical College,Greenwood,SC
University of South Carolina-Union,Union,SC
Coastal Carolina University,Conway,SC
Williamsburg Technical College,Kingstree,SC
Wofford College,Spartanburg,SC
York Technical College,Rock Hill,SC
Kilian Community College,Sioux Falls,SD
Vermont State Colleges-Office of the Chancellor,Montpelier,VT
University of Vermont,Burlington,VT
College of William and Mary,Williamsburg,VA
Dabney S Lancaster Community College,Clifton Forge,VA
Lynchburg College,Lynchburg,VA
Ogle School Hair Skin Nails-Hurst,Hurst,TX
Anthem Institute-Jersey City,Jersey City,NJ
Dorsey Business Schools-Roseville,Roseville,MI
Red River Technology Center,Duncan,OK
South University-Columbia,Columbia,SC
Capstone College,Van Nuys,CA
Lawton Career Institute-Oak Park Campus,Oak Park,MI
Astrodome Career Centers,Houston,TX
Center for Advanced Legal Studies,Houston,TX
Tennessee Board of Regents,Nashville,TN
Sanford-Brown College-St Peters,Saint Peters,MO
Ohio Center for Broadcasting-Valley View,Valley View,OH
ITT Technical Institute-Webster,Webster,TX
Star Truck Driving School-Bensenville,Bensenville,IL
Crossroads Bible College,Indianapolis,IN
Southeastern School of Cosmetology,Birmingham,AL
Universal Therapeutic Massage Institute,Albuquerque,NM
National Beauty College,Garland,TX
Universal College of Healing Arts,Omaha,NE
University of Phoenix-Des Moines Campus,Des Moines,IA
University of Phoenix-Austin Campus,Austin,TX
University of Phoenix-Raleigh Campus,Raleigh,NC
Career Technical College-Shreveport,Shreveport,LA
Empire Beauty School-Avondale,Avondale,AZ
Empire Beauty School-Littleton,Littleton,CO
Regency Beauty Institute-Darien,Darien,IL
Regency Beauty Institute-Madison,Madison,WI
Focus-Hope Information Technologies Center,Detroit,MI
International Cosmetology Academy,Grand Rapids,MI
Healing Arts Center,St. Louis,MO
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Ballston Spa,NY
MediaTech Institute-Dallas,Dallas,TX
Aveda Institute-San Antonio,San Antonio,TX
Skin Institute,Saint George,UT
Cardiac and Vascular Institute of Ultrasound,Mobile,AL
Summit Salon & Beauty School,Woodland Park,CO
Institute of World Politics,Washington,DC
Lake Lanier School of Massage,Gainsville,GA
ITT Technical Institute-Waco,Waco,TX
Carrington College-Tucson,Tucson,AZ
College America-Flagstaff,Flagstaff,AZ
Arizona Automotive Institute,Glendale,AZ
Southwest University of Visual Arts-Tucson,Tucson,AZ
DeVry University-Arizona,Phoenix,AZ
Mohave Community College,Kingman,AZ
Salon Success Academy-Corona,Corona,CA
Rio Hondo College,Whittier,CA
University of San Diego,San Diego,CA
San Francisco Art Institute,San Francisco,CA
San Francisco State University,San Francisco,CA
Scripps College,Claremont,CA
Wyotech-Fremont,Fremont,CA
University of Georgia,Athens,GA
Gupton Jones College of Funeral Service,Decatur,GA
Life University,Marietta,GA
Paine College,Augusta,GA
Shorter University,Rome,GA
South Georgia Technical College,Americus,GA
Johnson County Community College,Overland Park,KS
Newman University,Wichita,KS
Old Town Barber College-Wichita,Wichita,KS
Manhattan Christian College,Manhattan,KS
Alice Lloyd College,Pippa Passes,KY
Galen College of Nursing-Louisville,Louisville,KY
Dorsey Business Schools-Southgate,Southgate,MI
Grace Bible College,Wyoming,MI
Michigan College of Beauty-Monroe,Monroe,MI
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI
Muskegon Community College,Muskegon,MI
Everest Institute-Southfield,Southfield,MI
Paul Mitchell the School-Escanaba,Escanaba,MI
Rivier University,Nashua,NH
Beth Medrash Govoha,Lakewood,NJ
Bloomfield College,Bloomfield,NJ
Adult and Continuing Education-BCTS,Hackensack,NJ
Anthem Institute-Parsippany,Parsippany,NJ
Yeshiva Karlin Stolin,Brooklyn,NY
Yeshivath Zichron Moshe,South Fallsburgh,NY
Appalachian State University,Boone,NC
Asheville-Buncombe Technical Community College,Asheville,NC
Coastal Carolina Community College,Jacksonville,NC
Duke University,Durham,NC
Durham Technical Community College,Durham,NC
Greensboro College,Greensboro,NC
Livingstone College,Salisbury,NC
Martin Community College,Williamston,NC
Altoona Beauty School Inc,Altoona,PA
Biblical Theological Seminary,Hatfield,PA
Bryn Mawr College,Bryn Mawr,PA
Bucknell University,Lewisburg,PA
Buck's County School of Beauty Culture Inc,Feasterville,PA
Cambria-Rowe Business College-Johnstown,Johnstown,PA
Dean Institute of Technology,Pittsburgh,PA
Dickinson College,Carlisle,PA
Baylor College of Medicine,Houston,TX
Cedar Valley College,Lancaster,TX
Central Texas College,Killeen,TX
Cisco College,Cisco,TX
DeVry University-Texas,Irving,TX
East Texas Baptist University,Marshall,TX
ITT Technical Institute-Greenfield,Greenfield,WI
Lawrence University,Appleton,WI
Nashotah House,Nashotah,WI
Nicolet Area Technical College,Rhinelander,WI
Northcentral Technical College,Wausau,WI
Southwest Wisconsin Technical College,Fennimore,WI
University of Wisconsin-System Administration,Madison,WI
Hairmasters Institute of Cosmetology,Bloomington,IL
Ross Medical Education Center-Taylor,Taylor,MI
Colton-Redlands-Yucaipa Regional Occupational Program,Redlands,CA
UEI College-Fresno,Fresno,CA
Yo San University of Traditional Chinese Medicine,Los Angeles,CA
Colorado Technical University-Sioux Falls,Sioux Falls,SD
Career and Technology Education Centers of Licking County,Newark,OH
Willoughby-Eastlake School of Practical Nursing,Eastlake,OH
Eastern Oklahoma County Technology Center,Choctaw,OK
Technical Institute of Cosmetology Arts and Sciences,Tulsa,OK
York County School of Technology-Adult & Continuing Education,York,PA
Academy of Hair Design-Lufkin,Lufkin,TX
Charter College-Canyon Country,Canyon Country,CA
University of Phoenix-South Florida Campus,Miramar,FL
Mr John's School of Cosmetology Esthetics & Nails-Jacksonville,Jacksonville,IL
P C Age-Jersey City,Jersey City,NJ
American Institute-Margate,Margate,FL
South Florida Institute of Technology,Miami,FL
International Barber & Style College,Nashville,TN
Triangle Tech Inc-Sunbury,Sunbury,PA
Paul Mitchell the School-Rhode Island,Cranston,RI
Bexley Hall Episcopal Seminary,Columbus,OH
Strayer University-Pennsylvania,Trevose,PA
Kaplan College-Brownsville,Brownsville,TX
School of Health,Macon,GA
Regency Beauty Institute-Greenfield,Greenfield,WI
Regency Beauty Institute-East Tucson,Tucson,AZ
Regency Beauty Institute-Eastgate,Cincinnati,OH
Trident University International,Cypress,CA
San Diego College,San Diego,CA
Academy for Five Element Acupuncture,Gainesville,FL
Academy of Career Training,Kissimmee,FL
Empire Beauty School-E Memphis,Memphis,TN
Empire Beauty School-Morrow,Morrow,GA
Strayer University-Arkansas,Little Rock,AR
The Hair Design School-Durham,Durham,NC
Future-Tech Institute,Miami,FL
Victory Trade School,Springfield,MO
The Lab-Paul Mitchell Partner School,Ewing,NJ
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Latham,NY
The Academy Waukesha,Waukesha,WI
ITT Technical Institute-Tallahassee,Tallahassee,FL
National American University-Burnsville,Burnsville,MN
Leon Studio One School of Hair Design & Career Training Center,North Tonawanda,NY
Columbia College,Centreville,VA
Northland Pioneer College,Holbrook,AZ
Ottawa University-Phoenix,Phoenix,AZ
South Mountain Community College,Phoenix,AZ
Arizona Christian University,Phoenix,AZ
Lyon College,Batesville,AR
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR
Arkansas Tech University,Russellville,AR
University of Arkansas at Monticello,Monticello,AR
Baptist Health Schools-Little Rock,Little Rock,AR
Crowley's Ridge College,Paragould,AR
Henderson State University,Arkadelphia,AR
Sonoma State University,Rohnert Park,CA
South Baylo University,Anaheim,CA
Vanguard University of Southern California,Costa Mesa,CA
Claremont School of Theology,Claremont,CA
Marinello Schools of Beauty-Lake Forest,Lake Forest,CA
Concorde Career College-North Hollywood,North Hollywood,CA
Ventura County Community College System Office,Ventura,CA
The Santa Barbara and Ventura Colleges of Law-Ventura,Ventura,CA
West Hills College-Coalinga,Coalinga,CA
Western State College of Law at Argosy University,Fullerton,CA
University of Hawaii at Manoa,Honolulu,HI
University of Hawaii-West Oahu,Kapolei,HI
University of Idaho,Moscow,ID
Alvareitas College of Cosmetology-Godfrey,Godfrey,IL
Blessing Hospital School of Radiologic Technology,Quincy,IL
Ezell's Cosmetology School,Murray,KY
Kentucky Christian University,Grayson,KY
Lexington Theological Seminary,Lexington,KY
Saint Catharine College,Saint Catharine,KY
Empire Beauty School-Elizabethtown,Elizabethtown,KY
Somerset Community College,Somerset,KY
Sullivan University,Louisville,KY
Transylvania University,Lexington,KY
Aveda Institute-Minneapolis,Minneapolis,MN
Itasca Community College,Grand Rapids,MN
The Art Institutes International-Minnesota,Minneapolis,MN
North Central University,Minneapolis,MN
Northland Community and Technical College,Thief River Falls,MN
Eastern New Mexico University-Main Campus,Portales,NM
Eastern New Mexico University-Roswell Campus,Roswell,NM
Southwestern Indian Polytechnic Institute,Albuquerque,NM
Austin's School of Spa Technology,Albany,NY
Bard College,Annandale-On-Hudson,NY
Williston State College,Williston,ND
Trinity Bible College,Ellendale,ND
Turtle Mountain Community College,Belcourt,ND
Aultman College of Nursing and Health Sciences,Canton,OH
Baldwin Wallace University,Berea,OH
Case Western Reserve University,Cleveland,OH
Central School of Practical Nursing,Independence,OH
Levittown Beauty Academy,Levittown,PA
Lincoln Technical Institute-Allentown,Allentown,PA
Lock Haven University,Lock Haven,PA
Lutheran Theological Seminary at Gettysburg,Gettysburg,PA
Pennsylvania State University-Penn State Brandywine,Media,PA
Schreiner University,Kerrville,TX
South Texas Barber College Inc,Corpus Christi,TX
Southern Methodist University,Dallas,TX
University of Texas Southwestern Medical Center,Dallas,TX
The University of Texas Medical Branch,Galveston,TX
Texas State Technical College-System,Waco,TX
Texas A & M University-Galveston,Galveston,TX
The University of Texas at Austin,Austin,TX
The University of Texas at El Paso,El Paso,TX
ITT Technical Institute-Sylmar,Sylmar,CA
ITT Technical Institute-Westminster,Westminster,CO
Widener University-Delaware Campus,Wilmington,DE
Meridian College,Sarasota,FL
Infinity Career College,Carthage,MS
Xenon International Academy-Denver,Aurora,CO
New England Hair Academy,Malden,MA
Kiamichi Technology Center-Stigler,Stigler,OK
Arizona State University-West,Glendale,AZ
Orlo School of Hair Design and Cosmetology,Albany,NY
Delaware Area Career Center,Delaware,OH
Columbia Gorge Community College,The Dalles,OR
Manhattan School of Computer Technology,"Brooklyn,",NY
Vanguard-Sentinel Adult Career and Technology Center,Fremont,OH
Linfield College-Adult Degree Program,McMinnville,OR
DeVry University's Keller Graduate School of Management-Virginia,Arlington,VA
DeVry University's Keller Graduate School of Management-Wisconsin,Milwaukee,WI
Professional Golfers Career College,Temecula,CA
Carrington College California-San Jose,San Jose,CA
Lincoln Technical Institute-Cromwell,Cromwell,CT
Brookline College-Tucson,Tucson,AZ
Unitech Training Academy-Lafayette,Lafayette,LA
ITT Technical Institute-Eden Prairie,Eden Prairie,MN
International Academy of Design and Technology-Troy,Troy,MI
University of California-Merced,Merced,CA
Remington College-Nashville Campus,Nashville,TN
Arthur's Beauty School Inc-Pine Bluff,Pine Bluff,AR
Spa Tech Institute-Ipswich,Ipswich,MA
Spa Tech Institute-Plymouth,Plymouth,MA
Bridgemont Community and Technical College,Montgomery,WV
Neumont University,Salt Lake City,UT
University of Phoenix-Central Valley Campus,Fresno,CA
National College-Dayton,Kettering,OH
Reflexology Certification Institute,Avon,OH
Brown Mackie College-Albuquerque,Albuquerque,NM
Hair Design Institute at Fifth Avenue-New York,New York,NY
Norco College,Norco,CA
Dorsey Business Schools-Saginaw,Saginaw,MI
Salter School-New Bedford,New Bedford,MA
Ross Medical Education Center-Kokomo,Kokomo,IN
Ross Medical Education Center-Charleston,Charleston,WV
Vatterott College-ex'treme Institute by Nelly-St Louis,St. Louis,MO
Everest College-Phoenix,Phoenix,AZ
Thunderbird School of Global Management,Glendale,AZ
Central Arizona College,Coolidge,AZ
Anthem College-Phoenix,Phoenix,AZ
Santa Ana College,Santa Ana,CA
Pardee RAND Graduate School,Santa Monica,CA
Samuel Merritt University,Oakland,CA
San Jose State University,San Jose,CA
Santa Barbara City College,Santa Barbara,CA
Simpson University,Redding,CA
DeVry University-Georgia,Decatur,GA
Gwinnett College-Lilburn,Lilburn,GA
Gwinnett Technical College,Lawrenceville,GA
Interdenominational Theological Center,Atlanta,GA
University of North Georgia,Dahlonega,GA
North Georgia Technical College,Clarkesville,GA
Hesston College,Hesston,KS
Highland Community College,Highland,KS
McPherson College,McPherson,KS
MidAmerica Nazarene University,Olathe,KS
Asbury University,Wilmore,KY
Asbury Theological Seminary,Wilmore,KY
Brescia University,Owensboro,KY
Kettering University,Flint,MI
Gogebic Community College,Ironwood,MI
Kirtland Community College,Roscommon,MI
Michigan Technological University,Houghton,MI
Mid Michigan Community College,Harrison,MI
Baker College of Muskegon,Muskegon,MI
Keene State College,Keene,NH
Atlantic Cape Community College,Mays Landing,NJ
Berkeley College-Woodland Park,Woodland Park,NJ
duCret School of Arts,Plainfield,NJ
Gloucester County College,Sewell,NJ
Eastwick College-Ramsey,Ramsey,NJ
Holy Name Medical Center School of Nursing,Teaneck,NJ
Bennett College,Greensboro,NC
Campbell University,Buies Creek,NC
Gardner-Webb University,Boiling Springs,NC
Gaston College,Dallas,NC
Halifax Community College,Weldon,NC
High Point University,High Point,NC
James Sprunt Community College,Kenansville,NC
Mars Hill University,Mars Hill,NC
The Art Institutes of York-PA,York,PA
Automotive Training Center-Exton,Exton,PA
Carlow University,Pittsburgh,PA
Carnegie Mellon University,Pittsburgh,PA
Cheyney University of Pennsylvania,Cheyney,PA
Alamo Community College District Central Office,San Antonio,TX
Angelo State University,San Angelo,TX
The Art Institute of Houston,Houston,TX
Remington College-Dallas Campus,Garland,TX
Vet Tech Institute of Houston,Houston,TX
Brazosport College,Lake Jackson,TX
Capitol City Careers,Austin,TX
North Central Texas College,Gainesville,TX
El Paso Community College,El Paso,TX
Columbia College of Nursing,Glendale,WI
Concordia University-Wisconsin,Mequon,WI
Lakeland College,Plymouth,WI
Milwaukee Area Technical College,Milwaukee,WI
Milwaukee Institute of Art & Design,Milwaukee,WI
Milwaukee School of Engineering,Milwaukee,WI
Saint Norbert College,De Pere,WI
Silver Lake College of the Holy Family,Manitowoc,WI
State College of Beauty Culture Inc,Wausau,WI
University of Wisconsin-Green Bay,Green Bay,WI
DeVry University's Keller Graduate School of Management-Missouri,Kansas City,MO
National Tractor Trailer School Inc-Liverpool,Liverpool,NY
NorthWest Arkansas Community College,Bentonville,AR
Argosy University-Atlanta,Atlanta,GA
Alexandria School of Scientific Therapeutics,Alexandria,IN
Pima Medical Institute-Seattle,Seattle,WA
Albany BOCES-Adult Practical Nursing Program,Albany,NY
Eastern Suffolk BOCES-Practical Nursing Program,Patchogue,NY
Penta County Joint Vocational School,Perrysburg,OH
Hanover Public School District Practical Nursing Program,Hanover,PA
Lancaster County Career and Technology Center,Willow Street,PA
Lebanon County Area Vocational Technical School,Lebanon,PA
Little Priest Tribal College,Winnebago,NE
ITT Technical Institute-Richardson,Richardson,TX
Florida College of Integrative Medicine,Orlando,FL
ITT Technical Institute-Liverpool,Liverpool,NY
Ilisagvik College,Barrow,AK
Williamson Christian College,Franklin,TN
DigiPen Institute of Technology,Redmond,WA
University of Phoenix-Charlotte Campus,Charlotte,NC
ITT Technical Institute-Hilliard,Hilliard,OH
University of Phoenix-Indianapolis Campus,Indianapolis,IN
Milan Institute-Sparks,Sparks,NV
Empire Beauty School-Framingham,Framingham,MA
Carrington College California-Stockton,Stockton,CA
Paul Mitchell the School-Miami,Miami,FL
Wolford College,Naples,FL
DiGrigoli School of Cosmetology,West Springfield,MA
Millennium Training Institute,Woburn,MA
Golden State College of Court Reporting,Pleasanton,CA
Preferred College of Nursing-Los Angeles,Los Angeles,CA
Aveda Institute-Denver,Denver,CO
Paul Mitchell the School-Colorado Springs,Colorado Springs,CO
ITT Technical Institute-Akron,Akron,OH
ITT Technical Institute-Cedar Rapids,Cedar Rapids,IA
The Chicago School of Professional Psychology at Washington DC,Washington,DC
Brighton Institute of Cosmetology,Brighton,MI
ITT Technical Institute-Germantown,Greenfield,WI
ITT Technical Institute-Grand Rapids,Wyoming,MI
Advance Beauty Techs Academy,San Jacinto,CA
Savannah Law School,Savannah,GA
Empire Beauty School-Glen Burnie,Glen Burnie,MD
International Sports Sciences Association,Carpinteria,CA
Abraham Lincoln University,Los Angeles,CA
Professional Hands Institute,Miami,FL
California State University-Northridge,Northridge,CA
University of California-Davis,Davis,CA
California Beauty School,Modesto,CA
College of the Canyons,Santa Clarita,CA
CET-San Bernardino,San Bernardino,CA
CET-Watsonville,Watsonville,CA
Chapman University,Orange,CA
Colorado State University-Pueblo,Pueblo,CO
Western State Colorado University,Gunnison,CO
Asnuntuck Community College,Enfield,CT
Branford Hall Career Institute-Branford Campus,Branford,CT
Fairfield University,Fairfield,CT
Rensselaer Hartford Graduate Center Inc,Hartford,CT
Sanford-Brown College-Farmington,Farmington,CT
Manchester Community College,Manchester,CT
Judson University,Elgin,IL
Lake Forest Graduate School of Management,Lake Forest,IL
Lincoln College,Lincoln,IL
Mac Daniels Beauty School,Chicago,IL
MacMurray College,Jacksonville,IL
Millikin University,Decatur,IL
Morton College,Cicero,IL
North Park University,Chicago,IL
Northeastern Illinois University,Chicago,IL
SOWELA Technical Community College,Lake Charles,LA
Stevensons Academy of Hair Design,New Orleans,LA
Southeastern Louisiana University,Hammond,LA
Southern University at New Orleans,New Orleans,LA
Husson University,Bangor,ME
University of Maine-System Central Office,Bangor,ME
Northern Maine Community College,Presque Isle,ME
Aaron's Academy of Beauty,Waldorf,MD
Summit Academy Opportunities Industrialization Center,Minneapolis,MN
Coahoma Community College,Clarksdale,MS
Jackson State University,Jackson,MS
Tougaloo College,Tougaloo,MS
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY
Briarcliffe College,Bethpage,NY
American Beauty School,Bronx,NY
Bryant & Stratton College-Syracuse,Syracuse,NY
Bryant & Stratton College-Greece,Rochester,NY
CUNY LaGuardia Community College,Long Island City,NY
CUNY Medgar Evers College,Brooklyn,NY
CUNY Queens College,Flushing,NY
Cincinnati State Technical and Community College,Cincinnati,OH
The University of Findlay,Findlay,OH
Hiram College,Hiram,OH
Hobart Institute of Welding Technology,Troy,OH
ITT Technical Institute-Dayton,Dayton,OH
Eastern Gateway Community College,Steubenville,OH
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA
Cairn University-Langhorne,Langhorne,PA
Pittsburgh Institute of Aeronautics,West Mifflin,PA
Kaplan Career Institute-Broomall,Broomall,PA
Rosedale Technical Institute,Pittsburgh,PA
Saint Vincent Seminary,Latrobe,PA
Trinity University,San Antonio,TX
The University of Texas Health Science Center at Houston,Houston,TX
Sherman Kendall Academy-Salt Lake City,Salt Lake City,UT
Dixie State University,Saint George,UT
Everest College-Salt Lake City,West Valley City,UT
Southern Utah University,Cedar City,UT
Stevens-Henager College-Ogden,West Haven,UT
Westminster College,Salt Lake City,UT
Goddard College,Plainfield,VT
Marlboro College,Marlboro,VT
Metro Business College-Jefferson City,Jefferson City,MO
Antioch University-Santa Barbara,Santa Barbara,CA
Antioch University-New England,Keene,NH
Platt College-Tulsa,Tulsa,OK
Ponca City Beauty College,Ponca City,OK
Kaplan College-El Paso,El Paso,TX
University of Cosmetology Arts & Sciences-San Antonio Perrin,San Antonio,TX
Beckfield College-Florence,Florence,KY
University of Louisiana-System Administration,Baton Rouge,LA
Mississippi Community College Board,Jackson,MS
Collin County Community College District,McKinney,TX
Cleveland Institute of Dental-Medical Assistants-Mentor,Mentor,OH
U S Grant Joint Vocational School,Bethel,OH
Kiamichi Technology Center-Idabel,Idabel,OK
Kiamichi Technology Center-Spiro,Spiro,OK
Sanford-Brown Institute-Wilkins Township,Pittsburgh,PA
SW School of Business and Technical Careers-Cosmetology,San Antonio,TX
Centura College-Norfolk,Norfolk,VA
American Commercial College-Wichita Falls,Wichita Falls,TX
Lincoln Technical Institute-Brockton,Brockton,MA
Carrington College California-Pleasant Hill,Pleasant Hill,CA
Eastern West Virginia Community and Technical College,Moorefield,WV
Du Bois Business College-Oil City,Oil City,PA
Pivot Point Academy-Chicago,Chicago,IL
ATA Career Education,Spring Hill,FL
Central State Massage Academy,Oklahoma City,OK
Community Christian College,Redlands,CA
Performance Training Institute,Toms River,NJ
Centura Institute,Orlando,FL
Professional Massage Training Center,Springfield,MO
The King’s College,New York,NY
Regency Beauty Institute-Pasadena,Pasadena,TX
Regency Beauty Institute-Akron,Akron,OH
Regency Beauty Institute-Columbus,Columbus,OH
The Salon Professional Academy-Appleton,Appleton,WI
Paul Mitchell the School-Birmingham,Hoover,AL
Career Development Institute,Los Angeles,CA
Institute of Taoist Education and Acupuncture,Louisville,CO
Buckner Barber School,Dallas,TX
Salinas Beauty College Inc,Salinas,CA
Paul Mitchell the School-Spokane,Spokane Valley,WA
Lincoln College of New England-Hartford,Hartford,CT
Lincoln College of Technology-Columbus,Columbus,OH
ITT Technical Institute-Hanover,Hanover,MD
Chattahoochee Valley Community College,Phenix City,AL
Faulkner University,Montgomery,AL
J F Ingram State Technical College,Deatsville,AL
John C Calhoun State Community College,Tanner,AL
Troy University,Troy,AL
Moorpark College,Moorpark,CA
National University,La Jolla,CA
North Orange County Community College District,Anaheim,CA
Northwestern Polytechnic University,Fremont,CA
Palo Alto University,Palo Alto,CA
Point Loma Nazarene University,San Diego,CA
Pomona College,Claremont,CA
Stetson University,DeLand,FL
Southeastern University,Lakeland,FL
Fashion Focus Hair Academy,Sarasota,FL
Agnes Scott College,Decatur,GA
Interactive College of Technology-Morrow,Morrow,GA
Albany Technical College,Albany,GA
Armstrong Atlantic State University,Savannah,GA
